"roster_id","team_id","year","person_id","created_at","updated_at"
177,6,20212022,8479325,"2021-10-07 15:31:24.796659-07","2021-10-07 15:31:24.796659-07"
178,6,20212022,8479365,"2021-10-07 15:31:25.094102-07","2021-10-07 15:31:25.094102-07"
179,6,20212022,8480001,"2021-10-07 15:31:25.440334-07","2021-10-07 15:31:25.440334-07"
180,6,20212022,8480021,"2021-10-07 15:31:25.842558-07","2021-10-07 15:31:25.842558-07"
181,6,20212022,8480264,"2021-10-07 15:31:26.213839-07","2021-10-07 15:31:26.213839-07"
182,6,20212022,8480280,"2021-10-07 15:31:26.580313-07","2021-10-07 15:31:26.580313-07"
183,6,20212022,8480901,"2021-10-07 15:31:26.754111-07","2021-10-07 15:31:26.754111-07"
184,7,20212022,8478403,"2021-10-07 15:31:27.14968-07","2021-10-07 15:31:27.14968-07"
185,7,20212022,8479289,"2021-10-07 15:31:27.469764-07","2021-10-07 15:31:27.469764-07"
186,7,20212022,8482896,"2021-10-07 15:31:27.832744-07","2021-10-07 15:31:27.832744-07"
187,7,20212022,8467950,"2021-10-07 15:31:28.204195-07","2021-10-07 15:31:28.204195-07"
188,7,20212022,8473449,"2021-10-07 15:31:28.318075-07","2021-10-07 15:31:28.318075-07"
189,7,20212022,8474682,"2021-10-07 15:31:28.627273-07","2021-10-07 15:31:28.627273-07"
190,7,20212022,8475236,"2021-10-07 15:31:28.774533-07","2021-10-07 15:31:28.774533-07"
191,7,20212022,8475784,"2021-10-07 15:31:29.158725-07","2021-10-07 15:31:29.158725-07"
192,7,20212022,8475796,"2021-10-07 15:31:29.472939-07","2021-10-07 15:31:29.472939-07"
193,7,20212022,8475869,"2021-10-07 15:31:29.81203-07","2021-10-07 15:31:29.81203-07"
194,7,20212022,8476525,"2021-10-07 15:31:30.134661-07","2021-10-07 15:31:30.134661-07"
195,7,20212022,8476878,"2021-10-07 15:31:30.40963-07","2021-10-07 15:31:30.40963-07"
196,7,20212022,8476994,"2021-10-07 15:31:30.715518-07","2021-10-07 15:31:30.715518-07"
197,7,20212022,8477355,"2021-10-07 15:31:31.066353-07","2021-10-07 15:31:31.066353-07"
198,7,20212022,8477401,"2021-10-07 15:31:31.371004-07","2021-10-07 15:31:31.371004-07"
199,7,20212022,8477462,"2021-10-07 15:31:31.666629-07","2021-10-07 15:31:31.666629-07"
200,7,20212022,8478075,"2021-10-07 15:31:32.447809-07","2021-10-07 15:31:32.447809-07"
201,7,20212022,8478109,"2021-10-07 15:31:33.120907-07","2021-10-07 15:31:33.120907-07"
202,7,20212022,8479335,"2021-10-07 15:31:33.647909-07","2021-10-07 15:31:33.647909-07"
203,7,20212022,8479420,"2021-10-07 15:31:34.12109-07","2021-10-07 15:31:34.12109-07"
204,7,20212022,8479465,"2021-10-07 15:31:34.464016-07","2021-10-07 15:31:34.464016-07"
205,7,20212022,8479536,"2021-10-07 15:31:34.767926-07","2021-10-07 15:31:34.767926-07"
206,7,20212022,8479578,"2021-10-07 15:31:35.572255-07","2021-10-07 15:31:35.572255-07"
207,7,20212022,8479999,"2021-10-07 15:31:36.268637-07","2021-10-07 15:31:36.268637-07"
208,7,20212022,8480035,"2021-10-07 15:31:36.561372-07","2021-10-07 15:31:36.561372-07"
